Anos atividade,Região,Receitas,Ativos,Montante,BR,Prazo,# pmts pagas,Taxa ind.,Taxa med,target
13,1,2,2,10000,8,24,15.0,0.0959,0.09589980000590378,0
6,6,0,0,150000,5,12,3.0,0.0406,0.0406,0
9,7,2,1,15000,7,36,2.0,0.08560000000000001,0.08560000000000001,0
2,8,4,1,15000,7,36,11.0,0.0874,0.0874,0
1,3,2,1,10000,4,36,10.0,0.09,0.08947713,0
4,6,2,3,25000,6,24,13.0,0.0708,0.07053499741276927,0
12,8,2,3,20000,1,24,24.0,0.0609,0.0608695986983849,0
8,8,2,3,14500,8,36,30.0,0.0999,0.09989979311260996,0
5,8,2,1,15000,6,24,9.0,0.0708,0.0708,0
10,7,3,4,20000,1,24,22.0,0.0609,0.060845250774919736,0
16,3,1,3,25000,1,48,9.0,0.0692,0.0692,0
3,8,3,3,15000,1,12,12.0,0.0506,0.06505579919603875,0
6,6,3,2,20000,0,36,3.0,0.0431,0.0431,0
24,3,3,4,15000,6,36,3.0,0.0731,0.0731,0
6,7,4,4,20000,5,24,24.0,0.0509,0.05448807983611298,0
6,8,4,3,15000,6,24,24.0,0.0708,0.10341418614931527,0
10,7,4,2,25000,5,36,3.0,0.053099999999999994,0.053099999999999994,0
2,7,2,3,25000,7,36,21.0,0.0874,0.08719384723688563,0
3,7,2,3,15000,8,36,4.0,0.0981,0.0981,0
13,8,2,1,25000,1,48,7.0,0.0692,0.0692,0
3,8,2,1,10000,6,36,11.0,0.0748,0.0748,0
4,8,2,3,20000,2,60,16.0,0.1,0.08635395225657377,0
4,6,2,1,15000,8,24,21.0,0.0959,0.09589830040532779,0
12,7,2,3,30000,5,48,3.0,0.0579,0.0579,0
2,8,1,1,15000,7,24,24.0,0.0834,0.08338583995236731,0
6,6,2,3,25000,1,48,12.0,0.0692,0.06919812016918804,0
7,6,2,3,30000,7,36,15.0,0.0874,0.08737102883338034,0
30,7,3,4,25000,1,24,24.0,0.0609,0.060886781145670296,0
6,6,3,2,15000,0,18,2.0,0.035699999999999996,0.035699999999999996,0
11,7,2,3,15000,7,36,15.0,0.0874,0.08740000000039144,0
10,7,3,4,20000,5,24,24.0,0.0509,0.050578409860500356,0
6,7,2,1,11000,1,24,4.0,0.060899999999999996,0.060899999999999996,0
5,6,4,3,10000,6,36,4.0,0.0731,0.0731,0
4,8,2,3,75000,0,36,6.0,0.044800000000000006,0.044800000000000006,0
11,7,4,4,20000,6,36,4.0,0.0731,0.0731,0
8,8,1,1,20000,6,36,14.0,0.07486817584879389,0.07478840305680391,0
15,2,2,3,15000,6,24,24.0,0.0708,0.07079870018999283,0
10,7,3,0,150000,3,48,1.0,0.03,0.03,0
5,7,1,3,20000,1,36,0.0,0.06309999999999999,0.06309999999999999,0
40,8,0,4,15000,5,12,12.0,0.0406,0.0502877018061076,0
19,2,2,4,10000,6,24,24.0,0.0708,0.0707999999999882,0
8,8,4,2,10000,1,36,19.0,0.0649,0.06489730109653884,0
15,8,2,3,15000,8,24,24.0,0.0958,0.09586900781923155,0
39,2,3,0,20000,2,132,23.0,0.03,0.03085923327973523,0
3,8,1,1,17500,6,48,0.0,0.0779,0.0779,0
21,7,4,4,10000,5,12,12.0,0.0406,0.04452126374523312,0
31,3,0,0,50000,6,24,8.0,0.0708,0.0708,0
12,3,2,3,5000,6,12,12.0,0.0605,0.06754968610848383,0
6,7,2,3,20000,8,36,20.0,0.0999,0.09988783864207504,0
4,6,2,3,30000,1,24,14.0,0.06087675517637628,0.0599,0
13,8,2,3,25000,1,36,16.0,0.0648851944999995,0.0648,0
6,7,1,1,5000,8,36,13.0,0.0999,0.09990000000018905,0
10,6,2,1,10000,8,36,1.0,0.0981,0.0981,0
5,8,1,1,10000,1,36,36.0,0.0649,0.0648987501927864,0
9,8,3,1,12711,8,1,1.0,0.08560000000000001,0.08549733,0
3,7,2,1,15000,8,36,10.0,0.0999,0.0999,0
10,6,0,4,25000,6,24,23.0,0.0707,0.07165988905118843,0
22,0,1,3,15000,8,24,13.0,0.0959,0.09589400159034972,0
4,0,2,1,10000,8,24,19.0,0.0959,0.09589300326184866,0
6,7,1,1,20000,8,24,20.0,0.0959,0.0958952005090491,0
8,7,3,3,16500,8,36,10.0,0.0999,0.10339805209032615,1
9,3,2,3,22500,5,60,9.0,0.0639,0.0639,0
12,5,4,3,15000,6,36,36.0,0.0748,0.07478003523153959,0
15,6,4,4,20000,6,36,21.0,0.0748,0.0747443419173776,0
31,7,3,4,25000,5,36,16.0,0.0549,0.05489292171636012,0
19,8,2,1,20000,1,36,8.0,0.0649,0.0649,0
5,6,4,4,40000,1,36,6.0,0.0649,0.0649,0
20,7,3,4,20000,6,24,1.0,0.0708,0.0708,0
6,7,3,3,20000,1,36,0.0,0.06309999999999999,0.06309999999999999,0
5,8,3,2,20000,6,24,24.0,0.0708,0.07030567062813796,0
4,2,1,1,10000,6,48,3.0,0.0779,0.0779,0
8,3,3,2,10000,6,24,24.0,0.0708,0.07439506741721481,0
3,3,2,1,10000,6,24,2.0,0.0708,0.0708,0
38,8,3,4,20000,1,24,24.0,0.0609,0.06750501,0
3,7,2,1,30000,8,24,20.0,0.0959,0.0958922597872668,0
5,9,3,4,60000,5,60,7.0,0.0639,0.0639,0
6,8,2,1,17000,1,36,12.0,0.0649,0.0647988223220705,0
2,8,1,1,5000,7,48,6.0,0.0917,0.0917,0
7,4,2,1,40000,1,36,16.0,0.0648851944999995,0.0649,0
13,8,4,3,10000,5,24,24.0,0.0509,0.05090000000000705,0
7,7,3,4,30000,7,12,12.0,0.0731,0.07309215261394007,0
5,6,2,3,20000,1,12,12.0,0.0506,0.0506,0
12,3,2,3,15000,7,18,18.0,0.0782,0.07819840043188186,0
21,7,2,3,10000,1,12,12.0,0.0506,0.05059350031503754,0
4,7,2,3,25000,5,36,2.0,0.053099999999999994,0.053099999999999994,0
3,0,1,1,10320,6,2,2.0,0.0605,0.0605,0
17,0,2,2,15000,6,24,24.0,0.0708,0.07079626756567618,0
17,7,2,3,12500,6,48,2.0,0.0779,0.0779,0
20,7,2,3,15000,8,36,18.0,0.0999,0.09989866672396602,0
10,4,0,0,15000,6,2,2.0,0.0605,0.060496499999999995,0
13,6,4,3,15000,7,36,36.0,0.0874,0.0874,0
38,8,3,4,15000,1,24,24.0,0.0609,0.07007815868432438,0
29,3,3,4,15000,1,36,5.0,0.0649,0.0649,0
2,3,1,1,5000,4,36,4.0,0.08,0.08,0
12,8,2,3,15000,6,36,11.0,0.0748,0.0748,0
4,8,4,3,15000,6,36,7.0,0.0748,0.0748,0
4,3,2,3,30000,6,36,11.0,0.0748,0.08322199746491125,1
3,7,1,3,15000,6,48,3.0,0.0779,0.0779,0
17,5,1,1,12500,7,36,3.0,0.08560000000000001,0.08560000000000001,0
4,6,1,3,40000,1,36,9.0,0.0649,0.0649,0
10,7,2,2,40000,7,36,25.0,0.0874,0.1051833090588663,0
31,8,2,4,15000,6,36,5.0,0.0731,0.0731,0
10,4,1,0,12500,6,2,2.0,0.0605,0.0605,0
4,1,3,1,15000,6,36,9.0,0.0748,0.0748,0
4,7,2,3,40000,1,36,10.0,0.0649,0.0649,0
3,8,2,1,15000,7,36,11.0,0.0874,0.0874,0
26,3,1,1,10000,1,60,5.0,0.0738,0.0738,0
5,6,4,3,20000,5,48,7.0,0.0592,0.0592,0
2,3,2,3,20000,4,24,13.0,0.08,0.07999999999999403,0
6,7,1,3,20000,5,60,5.0,0.0639,0.0639,0
3,8,3,3,15000,2,60,14.0,0.1,0.09080923028809598,0
7,7,4,3,15000,6,24,15.0,0.07079645043014725,0.07079986667068795,0
2,7,1,1,7500,4,36,5.0,0.09,0.09,0
4,8,2,1,15000,6,36,11.0,0.0748,0.0748,0
13,3,2,3,25000,6,36,36.0,0.0747,0.07775043411855445,0
5,0,3,2,25000,7,24,9.0,0.0834,0.0882,1
25,7,2,4,12500,5,24,15.0,0.0509,0.05991543743210814,1
6,7,2,1,30000,0,60,6.0,0.0538,0.0538,0
5,7,3,3,20000,6,24,24.0,0.0708,0.07079455089219763,0
26,8,2,4,10000,7,36,2.0,0.08560000000000001,0.08560000000000001,0
6,7,4,4,10000,5,12,12.0,0.0406,0.043480314355189204,0
8,3,2,3,10000,1,24,24.0,0.0609,0.06075990907750961,0
8,6,2,3,30000,5,36,6.0,0.054900000000000004,0.054900000000000004,0
13,7,3,2,25000,6,36,14.0,0.07486817584879389,0.07471712903084221,0
29,7,3,4,25000,7,24,21.0,0.0834,0.0833757751066593,0
9,7,4,3,10000,0,24,24.0,0.0416,0.0506239670575597,0
34,7,0,0,50000,6,36,36.0,0.0748,0.07472677993299312,0
16,0,2,4,15000,7,36,7.0,0.0874,0.0874,0
3,8,2,1,15000,6,36,16.0,0.07486817584879389,0.0749,0
7,7,4,4,20000,5,24,24.0,0.0509,0.05084879457989602,0
4,5,1,3,15000,8,36,32.0,0.0999,0.09990000000019636,0
27,8,2,3,42500,1,48,8.0,0.0692,0.0692,0
13,7,2,1,15000,7,24,17.0,0.0834,0.0834,0
7,7,3,3,20000,6,36,0.0,0.0731,0.0731,0
2,8,2,3,20000,8,36,36.0,0.0999,0.0998,0
9,3,3,4,20000,6,24,24.0,0.0708,0.07794067495808851,0
10,4,2,0,18000,6,2,2.0,0.0605,0.0604935,0
2,7,2,1,15000,4,36,5.0,0.0874,0.08738901,0
15,8,2,3,20000,6,36,0.0,0.0731,0.0731,0
6,6,2,2,15000,7,36,11.0,0.0874,0.0874,0
10,6,2,2,20000,6,24,24.0,0.0708,0.09395148881506482,0
6,6,2,3,50000,0,48,10.0,0.0492,0.04919805,0
17,0,2,2,10000,1,12,12.0,0.0506,0.05059760021442991,0
34,8,2,0,130000,0,48,5.0,0.0492,0.0492,0
10,0,2,3,25000,1,48,16.0,0.0692,0.0692,0
14,8,2,2,10000,8,24,24.0,0.0959,0.09589550119476498,0
7,8,4,3,20000,8,36,36.0,0.0999,0.10299876514326364,0
3,7,2,1,15000,6,36,6.0,0.0748,0.0748,0
16,2,0,0,50000,1,12,12.0,0.0506,0.0505,0
17,7,2,3,15000,7,36,8.0,0.0874,0.0874,0
30,8,2,3,15000,6,36,3.0,0.0731,0.0731,0
5,8,2,1,15000,5,36,3.0,0.053099999999999994,0.053099999999999994,0
7,8,1,3,15000,8,24,19.0,0.0959,0.09613233089501405,1
2,7,2,1,20000,4,36,16.0,0.08,0.08,0
