Anos atividade,Região,Receitas,Ativos,Montante,BR,Prazo,# pmts pagas,Taxa ind.,Taxa med,target
9,8,0,2,30000,1,36,2.0,0.06309999999999999,0.06309999999999999,0
6,8,4,3,10000,5,24,24.0,0.0708,0.11170421550633705,0
4,8,2,1,20000,6,24,18.0,0.0834,0.0833747783135583,1
12,8,1,3,25000,1,36,11.0,0.0649,0.06489166,0
3,8,3,4,10000,5,12,9.0,0.0617,0.08871241216343695,1
2,8,1,1,15000,5,36,9.0,0.0748,0.0748,0
10,7,4,4,10000,5,18,10.0,0.0657,0.0826290636468637,1
12,8,4,4,15000,7,36,10.0,0.09990000000019456,0.0999,1
18,4,2,0,10000,4,18,18.0,0.0457,0.04569775008498105,0
13,3,4,3,50000,5,36,2.0,0.0731,0.0731,0
9,7,2,2,10000,5,12,12.0,0.0617,0.06607697882853653,0
12,8,4,4,15000,7,36,10.0,0.09990000000019456,0.0999,1
11,8,2,4,10000,1,24,24.0,0.0609,0.07320464973466266,0
13,4,2,4,10000,5,24,24.0,0.0708,0.0707315125681093,0
29,5,2,3,10000,4,36,16.0,0.0549,0.05490000000232308,0
12,6,4,2,6600,7,2,2.0,0.08560000000000001,0.08560000000000001,0
9,6,4,3,20000,4,24,24.0,0.0509,0.07471204252662106,0
8,7,2,3,10000,7,24,13.0,0.0959,0.09589999999999871,1
2,8,2,3,20000,7,24,24.0,0.0959,0.09588798248834975,0
13,8,1,1,15000,5,36,2.0,0.0731,0.0731,0
6,5,1,3,10000,7,12,12.0,0.0867,0.08992502506278278,0
25,1,2,3,13000,4,24,24.0,0.0516,0.06437297766648552,0
7,8,1,3,15000,7,24,19.0,0.0959,0.09613233089501405,1
4,5,3,4,30000,4,48,7.0,0.0592,0.0592,0
2,9,0,4,50000,5,24,18.0,0.0708,0.07138664847409315,0
2,1,4,3,25000,5,24,24.0,0.0708,0.07076286846255113,0
8,8,3,3,20000,5,24,5.0,0.0708,0.0800302000018024,1
13,8,2,1,25000,1,36,16.0,0.0648851944999995,0.0686,0
15,8,2,2,10000,1,36,6.0,0.0649,0.0649,0
10,7,4,4,10000,5,18,10.0,0.0657,0.0826290636468637,1
15,8,3,4,20000,5,24,9.0,0.0708,0.07079012616882734,1
11,7,2,3,20000,6,36,19.0,0.0874,0.08727069938145657,0
3,8,1,1,10000,1,36,13.0,0.0649,0.06490000000137788,0
8,8,3,3,20000,5,24,5.0,0.0708,0.0800302000018024,1
12,8,4,4,20000,7,36,16.0,0.0959,0.09588445098528983,1
6,5,3,3,110000,4,36,2.0,0.053099999999999994,0.053099999999999994,0
3,8,3,3,15000,7,24,12.0,0.0959,0.09589366953086623,1
5,7,2,3,25000,5,48,13.0,0.07919999999999999,0.07916281758206631,0
5,7,2,3,20000,5,36,14.0,0.07486817584879389,0.07479605142626551,0
4,8,2,3,25000,5,24,15.0,0.0708,0.0898461130538169,1
27,7,2,3,5000,7,6,6.0,0.087,0.08874188899602846,0
10,7,1,1,20000,1,36,2.0,0.06309999999999999,0.06309999999999999,0
6,8,2,3,10000,6,36,1.0,0.08560000000000001,0.08560000000000001,0
25,7,3,4,15000,6,36,4.0,0.08560000000000001,0.08560000000000001,0
7,4,2,2,15000,1,48,5.0,0.0692,0.0692,0
8,7,2,3,10000,7,24,13.0,0.0959,0.09589999999999871,1
8,7,3,3,16500,7,36,10.0,0.0999,0.10339805209032615,1
4,8,2,3,25000,5,24,15.0,0.0708,0.0898461130538169,1
4,8,2,3,25000,5,24,15.0,0.0708,0.0898461130538169,1
4,8,1,1,15000,1,48,5.0,0.0692,0.0692,0
8,7,2,3,10000,7,24,13.0,0.0959,0.09589999999999871,1
13,7,2,3,15000,5,48,0.0,0.0779,0.0779,0
12,8,4,4,15000,7,36,10.0,0.09990000000019456,0.0999,1
7,0,2,3,30000,5,36,25.0,0.0748,0.07489474654994971,0
11,7,3,4,20000,1,36,21.0,0.0649,0.06481315422362827,0
