# Ordem,Estado,Anos atividade,Região,Receitas,Ativos,Montante,BR,Prazo,# pmts pagas,Taxa ind.,Taxa med,# ofertas
0001,Pago,22,Estremadura e Ribatejo,"100,000 - 350,000","100,000 - 350,000",2500,A,6,6.0,0.032,0.03463043023586235,31
0002,Incobrável,25,Estremadura e Ribatejo,"100,000 - 350,000","500,000-1,500,000",20000,B+,36,25.0,0.049,0.04928742027178372,33
0003,Pago,15,Estremadura e Ribatejo,"100,000 - 350,000","100,000 - 350,000",10000,B+,24,24.0,0.046,0.04846203979081873,46
0004,Pago,13,Estremadura e Ribatejo,"100,000 - 350,000","100,000 - 350,000",20000,A,48,48.0,0.042,0.04494499981125983,85
0005,Pago,27,Estremadura e Ribatejo,"100,000 - 350,000","100,000 - 350,000",5000,C,6,6.0,0.087,0.08874188899602846,39
0006,Pago,15,Minho e Douro Litoral,"100,000 - 350,000","350,000-500,000",10000,B+,24,24.0,0.046,0.0491947516262921,67
0007,Pago,22,Estremadura e Ribatejo,"100,000 - 350,000","100,000 - 350,000",10000,A,6,6.0,0.032,0.0349578159549416,60
0008,Pago,9,Lisboa,"100,000 - 350,000","100,000 - 350,000",10000,B-,12,12.0,0.062,0.06200000000005146,108
0009,Pago,7,Estremadura e Ribatejo,"350,000-500,000","100,000 - 350,000",15000,B+,24,24.0,0.046,0.04850599858204957,201
0010,Pago,11,Estremadura e Ribatejo,"350,000-500,000","350,000-500,000",10000,B+,36,36.0,0.0554,0.05579959498754492,81
0011,Pago,9,Alentejo,"350,000-500,000","100,000 - 350,000",10000,B+,12,12.0,0.0417,0.05040796190039987,115
0012,Pago,37,Minho e Douro Litoral,"500,000-1,500,000","500,000-1,500,000",10000,B+,12,12.0,0.0417,0.04436607844318432,157
0013,Pago,6,Estremadura e Ribatejo,"350,000-500,000","500,000-1,500,000",10000,B+,12,12.0,0.0417,0.046448758258241324,140
0014,Pago,28,Minho e Douro Litoral,"100,000 - 350,000","350,000-500,000",10000,B-,24,24.0,0.0716,0.07463272366469079,141
0015,Pago,6,Minho e Douro Litoral,"350,000-500,000","100,000 - 350,000",10000,B-,6,6.0,0.0617,0.08349539764100934,102
0016,Pago,5,Minho e Douro Litoral,"350,000-500,000","100,000 - 350,000",10000,B+,12,12.0,0.0417,0.04546277525972666,134
0017,Pago,25,Estremadura e Ribatejo,"<100,000","350,000-500,000",5000,B-,24,24.0,0.0716,0.07251407987736185,58
0018,Incobrável,3,Minho e Douro Litoral,"500,000-1,500,000","500,000-1,500,000",10000,B-,12,9.0,0.0617,0.08871241216343695,108
0019,Pago,6,Lisboa,"<100,000","100,000 - 350,000",10000,C,12,12.0,0.0867,0.08992502506278278,93
0020,Pago,25,Beira Interior,"100,000 - 350,000","100,000 - 350,000",13000,B+,24,24.0,0.0516,0.06437297766648552,115
0021,Pago,6,Lisboa,"500,000-1,500,000","100,000 - 350,000",10000,B+,12,12.0,0.0417,0.05220540118323905,111
0022,Pago,9,Estremadura e Ribatejo,"350,000-500,000","100,000 - 350,000",10000,A,24,24.0,0.0416,0.0506239670575597,92
0023,Pago,9,Alentejo,"350,000-500,000","350,000-500,000",10000,B+,12,12.0,0.0417,0.07277812456567373,95
0024,Pago,8,Beira Interior,"100,000 - 350,000","100,000 - 350,000",10000,B-,12,12.0,0.0617,0.06596224132291922,113
0025,Pago,3,Beira Litoral,"500,000-1,500,000","100,000 - 350,000",10000,C,24,24.0,0.0967,0.09643022242597243,130
0026,Pago,14,Beira Litoral,"500,000-1,500,000","500,000-1,500,000",10000,A,12,12.0,0.0316,0.041426528059019904,119
0027,Pago,3,Estremadura e Ribatejo,"<100,000","<100,000",5000,B-,12,12.0,0.0617,0.06176390226203368,63
0028,Pago,2,Estremadura e Ribatejo,"<100,000","100,000 - 350,000",10000,B-,12,12.0,0.0617,0.0739727998714244,114
0029,Pago,9,Estremadura e Ribatejo,"100,000 - 350,000","350,000-500,000",10000,B-,12,12.0,0.0617,0.06607697882853653,110
0030,Pago,2,Minho e Douro Litoral,"100,000 - 350,000","100,000 - 350,000",10000,B-,24,24.0,0.0716,0.07496497417117647,84
0031,Pago,37,Minho e Douro Litoral,"500,000-1,500,000","500,000-1,500,000",10000,B+,12,12.0,0.0417,0.05138577729206746,105
0032,Pago,4,Minho e Douro Litoral,"<100,000","100,000 - 350,000",10000,B+,12,12.0,0.0417,0.047348030176066105,128
0033,Pago,11,Beira Litoral,"<100,000","100,000 - 350,000",10000,B-,12,12.0,0.0605,0.06835651724372131,202
0034,Pago,6,Estremadura e Ribatejo,"350,000-500,000","500,000-1,500,000",10000,B+,12,12.0,0.0417,0.04385198455981359,136
0035,Incobrável,25,Estremadura e Ribatejo,"100,000 - 350,000","500,000-1,500,000",12500,B+,24,15.0,0.0509,0.05991543743210814,123
0036,Pago,6,Minho e Douro Litoral,"350,000-500,000","100,000 - 350,000",15000,B-,24,24.0,0.0708,0.10341418614931527,120
0037,Pago,8,Minho e Douro Litoral,"100,000 - 350,000","100,000 - 350,000",10000,B-,12,12.0,0.0605,0.10827036837481663,97
0038,Pago,6,Lisboa,"500,000-1,500,000","100,000 - 350,000",10000,B+,18,18.0,0.0457,0.06137652206248413,92
0039,Pago,33,Algarve,"100,000 - 350,000","100,000 - 350,000",20000,B+,24,24.0,0.0516,0.06112900008343945,130
0040,Pago,14,Beira Litoral,"500,000-1,500,000","500,000-1,500,000",25000,A,24,24.0,0.0408,0.05108506476410957,109
0041,Pago,2,Beira Litoral,"<100,000","<100,000",5000,C,24,24.0,0.0915,0.08837019188715173,66
0042,Pago,9,Estremadura e Ribatejo,"350,000-500,000","100,000 - 350,000",10000,A,12,12.0,0.0305,0.04221195118296214,88
